Classification,Summary
0,more than one infantile_hemangioma with largest diameter greater_than onecm
0,stage iv childhood burkitt lymphoma diagnosis and donor
0,advanced solid tumors amenable to anthracycline therapy diagnosis and growth factors or immunomodulatory agents within seven days prior to the administration of study treatment
0,recurrent mucoepidermoid carcinoma of the oral cavity diagnosis and patients with an active bleeding diathesis or on therapeutic anticoagulation except low dose coumadin
0,stage iv soft tissue sarcoma diagnosis and unwillingness to use an effective contraceptive method for the duration of their study participation and for at least one month after treatment is completed if sexually active with reproductive potential
1,metastatic breast cancer diagnosis and patients may have had prior chest wall irradiation or palliative radiation to bony sites for control of pain or fracture
1,recurrent adult diffuse large cell lymphoma diagnosis and ability to understand and the willingness to sign written informed consent document
0,adenocarcinoma of colon diagnosis and uncontrolled active infection
0,pancreatic alpha cell adenoma diagnosis and child pugh or classification
0,aids related diffuse large cell lymphoma diagnosis and donor
0,aggressive non hodgkin lymphoma diagnosis and uncontrolled viral or bacterial infection at the time of study enrollment
0,urethral cancer associated with invasive bladder cancer diagnosis and active or unstable cardiovascular disease or cardiac disease requiring drug or device intervention history of coronary artery disease or congestive heart failure
0,sarcoma diagnosis and patients should be switched to alternative therapies minimum of two weeks before starting study drug
1,refractory anaplastic large cell lymphoma diagnosis and patients can be enrolled up through day one of cycle three of therapy this includes the following disease types
0,colon mucinous adenocarcinoma diagnosis and patients with diabetes or in risk for hyperglycemia should not be excluded from trials with mk two thousand
1,rhabdomyosarcoma diagnosis and relapsed or refractory disease which has failed standard treatment approaches
0,ovarian endometrioid adenocarcinoma diagnosis and major surgical procedure open biopsy or significant traumatic injury equal_than less_than four weeks prior to registration
0,adenocarcinoma of the prostate diagnosis and absolute neutrophil count less_than one thousand
1,recurrent renal cell carcinoma diagnosis and patients with grade one prolonged qtc forty-five negative four hundred and eighty msec at the time of study enrollment should have correctable causes of prolonged qtc addressed if possible electrolytes medications
0,not being filipino american or up to date with colorectal cancer screening at baseline
0,peritoneal cancer diagnosis and platinum refractory disease is defined as relapse less than two months after the last dose of platinum based chemotherapy
1,diffuse large cell lymphoma transformed from follicular lymphoma diagnosis and normal cardiac ejection fraction and no evidence of pericardial effusion as determined by an echocardiogram
0,stage mantle cell lymphoma diagnosis and diffusion capacity of carbon monoxide dlco less_than forty total lung capacity tlc less_than forty forced expiratory volume in one second fevone less_than forty and or receiving supplementary continuous oxygen
0,concurrent hormonal therapy except steroids for adrenal failure hormones for non cancer related conditions insulin for diabetes or intermittent dexamethasone as an antiemetic
0,angioimmunoblastic cell lymphoma diagnosis and donor
0,melanoma diagnosis and pregnant or breast feeding females
1,pancreatic cancer diagnosis and eighteen years of age
0,stage iv childhood lymphoblastic lymphoma diagnosis and uncontrolled seizure disorder
1,liver cancer diagnosis and localized surgically unresectable disease
0,hepatocellular cancer diagnosis and active or clinically significant cardiac disease
0,gastroesophageal junction adenocarcinoma diagnosis and human immunodeficiency virus hiv
0,adult papillary meningioma diagnosis and patients with malabsorption syndrome or other condition that would interfere with intestinal absorption patients must be able to swallow tablets
1,bladder cancer diagnosis and see disease characteristics
1,ovarian neoplasms diagnosis and must have life expectancy of greater than three three months
0,pancreatic cancer diagnosis and use of any investigational product within four weeks of study enrollment
0,prostate cancer diagnosis and complete resolution of an intra abdominal abscess must be confirmed prior to initiating treatment with cabozantinib even if the abscess occurred more that six months ago
1,ebv related non hodgkin lymphoma diagnosis and n negative or lymphoproliferative disease in first relapse and or refractory to at least one salvage chemotherapy or with primary refractory disease after at least two lines of therapy or in second or subsequent relapse
1,lymphoma non hodgkin diagnosis and patients must have previously responded with duration of response of at least three months to iodine onethreeone anti bone antibody therapy
0,subjects with serious infection or life threatening illness unrelated to tumor that is greater_than grade two nci ctcae doc or active serious infections requiring parenteral antibiotic therapy
1,recurrent ovarian carcinoma diagnosis and bilirubin equal_than less_than doc uln
1,stage iv renal cell cancer diagnosis and fertile patients must use effective contraception during and for two months after study treatment
0,carcinoma squamous cell diagnosis and pregnancy or lactation
0,stage ii multiple myeloma diagnosis and participation in an investigational therapeutic study within three weeks or within five drug half lives tone two prior to first dose whichever time is greater
1,endometrial adenocarcinoma diagnosis and magnesium greater_than equal_than doc mmol l
0,ovarian carcinoma diagnosis and individuals who have had colonoscopy sigmoidoscopy or barium_enema in the past three years
0,cancer of the pharynx diagnosis and history of allergic reactions attributed to compounds of similar chemical or biologic composition to cisplatin five fluorouracil or hydroxyurea
0,stage iv mantle cell lymphoma diagnosis and female patients who are pregnant or breastfeeding
1,cancer related fatigue diagnosis and ability to understand and follow the study protocol
0,stage iv adult diffuse mixed cell lymphoma diagnosis and fertile men and women unwilling to use contraceptives during and for twelve months post transplant
1,chondrosarcoma
0,carcinoma in situ of the cervix
0,refractory diffuse large cell lymphoma diagnosis and received anticoagulation therapy with coumadin or equivalent vitamin antagonists within the last twenty-eight days
1,recurrent basal cell carcinoma of the lip diagnosis and her two not amplified by fluorescence in situ hybridization
0,advanced adult hepatocellular carcinoma diagnosis and core biopsy equal_than less_than seven days prior to registration
0,neoplasm diagnosis and any mental or physical condition in the opinion of the principal investigator pi or pi designee which could interfere with the ability of the subject to understand or adhere to the requirements of the study
0,prostate adenocarcinoma
0,stage iii mantle cell lymphoma diagnosis and uncontrolled hypertension as indicated by sbp greater_than one hundred and seventy mmhg or diastolic blood pressure dbp greater_than one hundred and five mmhg on two consecutive measurements at screening visit
0,small intestine lymphoma diagnosis and donors who are positive for hiv
0,recurrent childhood small noncleaved cell lymphoma diagnosis and forty kidneys
1,stage iiib non small cell lung cancer diagnosis and patients with history of hypertension must be well controlled less_than one hundred and fifty one hundred on stable regimen of anti hypertensive therapy
1,relapsed or refractory hodgkin lymphoma diagnosis and informed consent
1,embryonal botryoid childhood rhabdomyosarcoma diagnosis and ecog zero two
1,fallopian tube cancer diagnosis and life expectancy
1,lung cancer diagnosis and ecog zero two
0,recurrent plasma cell myeloma diagnosis and carbamazepine
1,neuroblastoma diagnosis and life expectancy
0,lung cancer diagnosis and history of pulmonary embolism or other venous thrombosis within one year of screening except for catheter related clots
0,metastatic osteosarcoma diagnosis and clinically significant gastrointestinal abnormalities that may affect absorption of investigational product including but not limited to
0,stage iv grade one follicular lymphoma diagnosis and patients who in the opinion of the treating physician are unlikely to comply with the restrictions of allogeneic stem cell transplantation based on formal psychosocial screening
1,cancer of pancreas diagnosis and hemoglobin greater_than one doc dl
1,stage iv colon cancer diagnosis and no psychiatric illness or social situation that would preclude study compliance
1,mixed anaplastic oligoastrocytoma aoa diagnosis and normal organ and marrow function as outlined in the protocol
1,adenocarcinoma of the gastroesophageal junction diagnosis and serum total bilirubin less_than doc mg dl and ast alt less_than three the institutional upper limit of normal
1,stage iv adult immunoblastic large cell lymphoma diagnosis and unrelated donor
0,nodal marginal zone cell lymphoma diagnosis and receiving any medications or substances that are strong inhibitors of cytochrome pfour hundred and fifty family three subfamily polypeptide four five cypthreeafour five
0,obstructing colorectal cancer diagnosis and suspicion of ibd
0,solid tumors diagnosis and received prior treatment with agents targeting the pdgfr ligand or receptor six weeks prior to the first dose of study medication
0,hepatocellular carcinoma diagnosis and uncontrolled blood pressure greater_than one hundred and fifty one hundred mmhg
0,recurrent childhood spinal cord neoplasm diagnosis and creatinine clearance or radioisotope gfr greater_than seventy ml min doc threem two or serum creatinine based on age as follows
1,anaplastic astrocytoma diagnosis and no overt renal hepatic cardiac or pulmonary disease
1,recurrent neuroblastoma diagnosis and mycn amplification greater than four fold increase in mycn signals as compared to reference signals regardless of age or additional biologic features
0,solid tumor diagnosis and diabetes mellitus
0,prior treatment of pancreatic cancer with chemotherapy radiation sensitizer allowed if greater_than six months has elapsed from completion
0,non small cell lung carcinoma diagnosis and serum creatinine gt doc uln uncontrolled hypercalcemia gt one doc mg dl urinary protein creatinine ratio greater_than equal_than one spot urine or clinically significant impairment of renal function estimated creatinine clearance lt forty-five ml min for patients who will receive pemetrexed
1,cervical adenosquamous carcinoma diagnosis and see disease characteristics
0,metastatic cancer diagnosis and for dose confirmation part b
0,sarcoma soft tissue diagnosis and insufficient live negative renal or bone marrow function
0,endometrial clear cell adenocarcinoma diagnosis and patients with known brain metastases
0,cancer of the urethra diagnosis and prior neoadjuvant or adjuvant systemic chemotherapy including cisplatin based is allowed provided it was completed greater than or equal to six months prior to the diagnosis of metastatic disease
0,stage iv cutaneous cell non hodgkin lymphoma diagnosis and patients with medical history of noncompliance with haart or medical therapy
1,lymphoma diagnosis and patients greater_than equal_than fifty-five but less_than equal_than sixty-five years who have performance status of zero or one and no comorbidities may receive the myeloablative regimen one at the discretion of the investigator s
0,concurrent second malignancy other than non melanoma skin cancer or cervical carcinoma in situ
0,neoplasm metastases diagnosis and patients with known liver disease
0,recurrent follicular lymphoma diagnosis and is currently participating and receiving study therapy or has participated in study of an investigational agent and received study therapy or used an investigational device within four weeks of the first dose of treatment
0,recurrent childhood lymphoblastic lymphoma diagnosis and clinically significant peripheral vascular disease
0,melanoma diagnosis and concomitant treatment with systemic corticosteroids greater than physiologic doses
1,nodal marginal zone cell lymphoma diagnosis and forced expiratory volume in one second fevone greater_than fifty
1,multiple myeloma diagnosis and ecog performance status greater_than equal_than two
1,hepatocellular carcinoma diagnosis and ability to receive oral medication
0,prostate neoplasms diagnosis and abnormal liver function
0,adenocarcinoma of the prostate diagnosis and history of major surgery within four weeks or minor surgical procedures within one week before randomization
0,contiguous stage ii grade one follicular lymphoma diagnosis and fungal pneumonia with radiological progression after receipt of amphotericin formulation or mold active azoles for greater than one month
0,cancer diagnosis and cardiomyopathy serious structural cardiac abnormalities or history of any of the following
0,head and neck cancer diagnosis and unstable angina serious uncontrolled cardiac arrhythmia active or uncontrolled infectious disorder myocardial infarction less_than equal_than six months prior to study entry
0,brain tumor diagnosis and history of surgery at the same site
1,limited disease small cell lung cancer diagnosis and patients should sign written informed consest before study entry
0,non small cell lung cancer diagnosis and history or evidence of inherited bleeding diathesis or coagulopathy with the risk of bleeding
0,cancer diagnosis and patients with contraindications to cyp and or gm csf
1,gastric cancer diagnosis and fertile patients must use effective contraception four weeks prior to during and for six months after completion of study therapy male patients must use barrier method contraception
1,mediastinal thymic large cell lymphoma diagnosis and stage iii with elevated ldh level high ldh greater_than twice the institutional upper limit of the adult normal values greater_than nxtwo any stage iv or al phase iii
0,stage multiple myeloma diagnosis and subjects with pleural effusions requiring thoracentesis or ascites requiring paracentesis
0,invasive lobular breast carcinoma diagnosis and pregnant or breast feeding patients are excluded
0,stage iia pancreatic cancer diagnosis and treatment with neoadjuvant chemotherapy or radiation therapy
0,prior anticancer treatment that would preclude study therapy
0,metastatic colorectal cancer diagnosis and major surgical procedure open biopsy or significant traumatic injury within twenty-eight days prior to treatment or anticipation of the need for major surgery during the course of the study
0,relapsed or refractory advanced cancer diagnosis and compound or device within thirty days prior to the first dose of study drug
0,stage iii childhood anaplastic large cell lymphoma diagnosis and donor
0,prostate cancer diagnosis and the above information was not intended to contain all considerations relevant to participant potential participation in clinical trial
1,primary central nervous system hodgkin lymphoma diagnosis and unstable angina pectoris
1,ovarian cancer diagnosis and fertile patients must use effective contraception during and for three months after study participation
0,neoplasms diagnosis and previous chemotherapy or radiotherapy
1,lymphoma diagnosis and renal
1,neuroblastoma diagnosis and progressive disease
0,uterine carcinosarcoma diagnosis and no intercurrent cardiac dysfunction including but not limited to any of the following
0,stage iv skin melanoma diagnosis and absolute neutrophil count less than one thousand mm three
0,ovarian serous adenocarcinoma diagnosis and patients with ctcae grade two or greater peripheral vascular disease at least brief less_than two4 hours episodes of ischemia managed non surgically and without permanent deficit
0,carcinoma non small cell lung diagnosis and therapeutic anticoagulation
0,primary peritoneal serous adenocarcinoma diagnosis and patients with history of cerebrovascular accident cva stroke transient ischemic attack tia or subarachnoid hemorrhage within six months of the first date of treatment on this study are ineligible
0,stage iiib breast cancer diagnosis and angina pectoris that requires the use of anti anginal medication
0,sarcoma diagnosis and renal failure requiring hem negative or peritoneal dialysis
0,brain tumor diagnosis and has had prior chemotherapy targeted small molecule therapy or radiation therapy within two weeks prior to study day one or who has not recovered less_than equal_than grade one or at baseline from adverse events due to previously administered agent
1,regional neuroblastoma diagnosis and doc mg dl males doc mg dl females
0,metastatic colorectal cancer diagnosis and any history of or currently known brain metastases
0,prostatic neoplasms diagnosis and ast or alt greater_than doc uln
1,osteosarcoma diagnosis and biologic anti neoplastic agent
0,patients who have received any anti cancer investigational agent in the month prior to inclusion
0,stage iii adrenocortical carcinoma diagnosis and pregnant or nursing women
0,er positive breast cancer diagnosis and assessment of lvef is done before and after trastuzumab based chemotherapy as standard of care
0,metastatic breast cancer diagnosis and history of hyperparathyroidism
0,symptomatic central nervous system cns metastasis
0,advanced malignant neoplasm diagnosis and history of allergic reactions attributed to compounds of similar chemical or biologic composition including macrolide azithromycin clarithromycin dirithromycin and erythromycin and ketolide antibiotics
0,multiple myeloma diagnosis and primary al amyloidosis
0,stage ib non small cell lung cancer diagnosis and support persons
1,stage multiple myeloma diagnosis and step ii
0,non hodgkin lymphoma diagnosis and serum creatinine greater_than doc normal
0,stage ivb verrucous carcinoma of the oral cavity diagnosis and unstable angina
0,recurrent adult diffuse small cleaved cell lymphoma diagnosis and diffusing capacity of the lung for carbon monoxide dlco less than forty predicted corrected for hemoglobin hb and or alveolar ventilation
0,stage iv adult lymphoblastic lymphoma diagnosis and donor
0,esophageal adenocarcinoma diagnosis and medical conditions such as active uncontrolled infection including hiv or cardiac disease that would make this protocol unreasonably_hazardous for the patient in the opinion of the treating physician cardiac disease may include uncontrolled high blood pressure unstable angina or serious uncontrolled cardiac arrhythmia
1,non hodgkin lymphoma or hodgkin lymphoma
0,untreated stage iii melanoma or stage iv melanoma diagnosis and patients with greater_than grade two peripheral neuropathy
0,hepatocellular cancer diagnosis and total serum calcium less_than one doc mg dl
0,differentiated thyroid cancer diagnosis and prior external beam radiation therapy to the target lesion s
1,unresectable intrahepatic cholangiocarcinoma diagnosis and albumin greater_than doc mg dl
1,recurrent refractory childhood hodgkin lymphoma diagnosis and creatinine clearance or radioisotope gfr greater_than equal_than seventy ml min doc three two or serum creatinine based on age gender as follows
0,clear cell renal cell carcinoma diagnosis and is within two weeks prior to day one nursing
1,uterine leiomyomata diagnosis and risk reducing prophylactic oophorectomy
0,recurrent childhood ependymoma diagnosis and sgpt alt less_than doc times institutional uln for age
1,testicular germ cell tumor diagnosis and unidimensionally measurable lesions
0,recurrent grade one follicular lymphoma diagnosis and positive crossmatch between donor and recipients
1,stage iia pancreatic cancer diagnosis and eighteen years of age
1,neoplasms breast diagnosis and rapidly progressing or life threatening disease that are considered to be inapplicable to hormonal therapy as determined by the investigator
0,metastatic renal cell carcinoma diagnosis and active central nervous system metastases
1,mixed adenocarcinoma of the stomach diagnosis and platelets greater_than equal_than one hundred zero ul
1,stage iiib fallopian tube cancer diagnosis and serum glutamic oxaloacetic transaminase sgot equal_than less_than to doc uln
0,cancer of the prostate diagnosis and history within the past two years of deep vein thrombosis dvt pulmonary embolism petwo known thrombophilic disorder rotein protein or antithrombin deficiency or cerebrovascular accident cva
1,lymphoma non hodgkin diagnosis and beam conditioning bcnu
1,male reproductive cancer diagnosis and at least six months since prior hypericum_perforatum st
1,type two papillary renal cell carcinoma diagnosis and only single allele disparity will be allowed for hla b or as defined by high resolution typing
1,melanoma skin diagnosis and life expectancy greater than four months in the opinion of the study clinician
1,breast cancer diagnosis and at least four weeks since prior chemotherapy six weeks for nitrosoureas or mitomycin
0,metastatic breast cancer diagnosis and substudy one
1,epithelial ovarian cancer diagnosis and laboratory requirements
0,tongue cancer diagnosis and patients with known hypersensitivity to porphyrins or with porphyria
0,non hodgkin lymphoma diagnosis and pregnant or nursing
1,ovarian cancer diagnosis and biologic therapy
0,breast cancer diagnosis and patients receiving anticoagulation therapy are excluded
0,ovarian neoplasms diagnosis and active or prior documented autoimmune or inflammatory disorders
0,atypical_teratoid rhabdoid tumor diagnosis and presence of an active uncontrolled infection
1,lung cancer diagnosis and no evidence of severe or uncontrolled pulmonary disease
0,neoplasms breast diagnosis and have known immediate or delayed hypersensitivity reaction or idiosyncrasy to any of the study drugs active ingredients or excipients that contraindicates their participation
1,recurrent childhood grade iii lymphomatoid granulomatosis diagnosis and subjects must be ineligible for conventional myeloablative transplantation
0,recurrent renal cell carcinoma diagnosis and anticipation of need for major surgical procedures during the course of the study
0,breast cancer diagnosis and controlled atrial fibrillation paroxysmal supraventricular tachycardia
0,stage childhood small noncleaved cell lymphoma diagnosis and history of allergic reactions attributed to compounds of similar chemical or biologic composition to busulfan other agents used in this study
0,recurrent small lymphocytic lymphoma diagnosis and prior to study entry any electrocardiogram ecg abnormality at screening has to be documented by the investigator as not medically relevant
1,melanoma skin diagnosis and clinically evaluable and measurable disease
0,inflammatory myofibroblastic tumor diagnosis and known intraluminal metastatic lesions
0,neuroectodermal tumors primitive diagnosis and moderate or severe persistent asthma as defined by the latest recommendations from the national heart lung and blood institute definition includes daily asthma exacerbation with need for rescue medication or an overnight hospitalization for asthma exacerbation within the previous twenty-eight days
1,diffuse large cell lymphoma diagnosis and hemoglobin greater_than nine dl absolute neutrophil count anc greater_than one five hundred mmthree and platelet count greater_than seventy-five zero mmthree
1,advanced melanoma diagnosis and clinically medically indicated procedure biopsy of lesions of recurrent disease palliative management via resection thoracentesis etc
0,recurrent melanoma diagnosis and unwilling or unable to follow protocol requirements
0,noncontiguous stage ii adult diffuse large cell lymphoma diagnosis and karnofsky adult or lansky for equal_than less_than sixteen years performance status equal_than less_than fifty
0,squamous cell carcinoma of the head and neck diagnosis and seventy-five years
1,recurrent hypopharyngeal squamous cell carcinoma diagnosis and eligibility of patients receiving any medications or substances known to affect or with the potential to affect the activity of vorinostat will be determined following review of their case by the principal investigator
0,bulky tumor masses elevated ldh symptoms or progressive disease prior to transplant
0,urologic neoplasms diagnosis and bladder diverticula with cumulative diameter greater_than onecm
0,stage iii marginal zone lymphoma diagnosis and pregnant or breastfeeding women are excluded from this study breastfeeding should be discontinued if the mother is treated with busulfan cyclophosphamide and etoposide
0,stage iiib gastric cancer diagnosis and active uncontrolled bleeding
0,second or later glioblastoma relapse
1,recurrent primary peritoneal carcinoma diagnosis and prothrombin time pt such that international normalized ratio inr is less than or equal to doc uln or an in range inr usually between two and three if patient is on stable dose of therapeutic warfarin and partial thromboplastin time ptt less than or equal to doc uln
1,pancreatic cancer diagnosis and no concurrent combination antiretroviral therapy for hiv positive patients
1,brain and central nervous system tumors diagnosis and radiotherapy
0,advanced inoperable non small cell lung cancer diagnosis and screening for chronic conditions is not required
0,endometrial cancer diagnosis and patients with known history of impaired fasting glucose or diabetes mellitus dm may be included however blood glucose and antidiabetic treatment must be monitored closely throughout the trial and adjusted as necessary
0,stage iii squamous cell carcinoma of the oropharynx diagnosis and pregnant or breast feeding women
0,concurrent administration of any other anti tumor therapy
1,breast cancer diagnosis and negative pregnancy test
0,prior chemotherapy for lymphoma
1,recurrent childhood pineoblastoma diagnosis and hemoglobin greater_than equal_than doc gm dl may receive packed red blood cell prbc transfusions
1,recurrent rectal cancer diagnosis and no psychiatric illness or social situation that would preclude study compliance
0,breast cancer diagnosis and presence of qtc interval prolongation greater_than four hundred and eighty ms
1,plexiform fibrohistiocytic tumor diagnosis and no transfusions are permitted seven days prior to laboratory studies to determine eligibility
0,adenosquamous cell lung cancer diagnosis and pregnant or lactating women all pre menopausal and peri menopausal women should have urine test for pregnancy within week of starting therapy all patients of child bearing potential should agree to use an effective contraceptive method
1,recurrent cutaneous cell non hodgkin lymphoma diagnosis and for patients unable to complete pulmonary function tests clearance by an adult pulmonologist is required
0,unresectable adenocarcinoma of gastric cardia diagnosis and inr greater than doc for patients on warfarin
1,precancerous condition diagnosis and able to understand the procedures and the potential risks involved as determined by clinic staff
0,stage iiic colon cancer diagnosis and john wort will be excluded cypthreeafour inducing drugs should be discontinued at least two weeks prior to the first cycle of irinotecan
0,stage iii mucosal melanoma of the head and neck diagnosis and note
1,stage iii grade one follicular lymphoma diagnosis and all patients must be capable of signing written informed consent and no consent can be provided by legal guardian
0,lung cancer diagnosis and contraindications for local anesthesia asagreater_than three fevoneless_than one five min conditions disabling the patient from comprehending the principles of vas pain examination known allergy to used medications
1,ovarian cancer diagnosis and ast alt less_than two times upper limit of normal uln
1,myelodysplastic myeloproliferative neoplasms diagnosis and alkaline phosphatase less_than three times uln
1,melanoma skin diagnosis and hiv negative
0,extranodal marginal zone cell lymphoma of mucosa associated lymphoid tissue diagnosis and prior radiation greater_than twenty gy to any critical normal organ lung liver spinal cord greater_than twenty-five of red marrow
0,carcinoma of unknown primary origin diagnosis and impairment of gastrointestinal function or gastrointestinal disease that may significantly alter the absorption of radone ulcerative disease uncontrolled nausea vomiting diarrhea malabsorption syndrome or small bowel resection
0,recurrent squamous cell carcinoma of the paranasal sinus and nasal cavity diagnosis and known hiv positive patients will be excluded from trial due to the potential immune modulation that these agents may cause
0,recurrent primary peritoneal carcinoma diagnosis and has diagnosis of immunodeficiency or is receiving systemic steroid therapy or any other form of immunosuppressive therapy within seven days prior to the first dose of trial treatment
0,recurrent malignant neoplasm diagnosis and conivaptan
0,multiple myeloma diagnosis and primary or associated amyloidosis
1,recurrent primary peritoneal carcinoma diagnosis and urinalysis with equal_than less_than two positive proteinuria
0,stage iii childhood small noncleaved cell lymphoma diagnosis and history of allergic reactions attributed to compounds of similar chemical or biologic composition to busulfan other agents used in this study
1,prostate cancer diagnosis and platelets one hundred zero µl
0,colorectal cancer diagnosis and pregnant or lactating women
0,recurrent glioblastoma diagnosis and patients with unresolved diarrhea greater_than grade two
0,metastatic ocular melanoma diagnosis and documented lvef of less than or equal to forty-five
0,stage iiic breast cancer diagnosis and history of abdominal fistula gastrointestinal perforation or intra abdominal abscess within six months prior to study enrollment
1,unspecified adult solid tumor protocol specific diagnosis and not specified
1,non small cell lung cancer diagnosis and bone metastases index lesion in the ribs clavicle scapula upper extremities pelvis or posterior aspects of the lumbar vertebra lthree lfive or sacral sone sfive
0,non small cell lung cancer diagnosis and pregnancy or lactation
0,unresectable or metastatic hepatocellular carcinoma hcc diagnosis and active brain metastases with exceptions
0,recurrent uterine corpus carcinoma diagnosis and patients with threerd degree or complete heart block are not eligible unless pacemaker is in place patients who are on medications which alter cardiac conduction digitalis beta blockers calcium channel blockers or who have other cardiac conduction abnormalities may be placed on study at the discretion of the investigator
0,anti tumor therapy within four weeks of the start of abt seven hundred and fifty-one administration
1,malignant mesothelioma diagnosis and are able to swallow capsules
1,carcinoma non small cell lung diagnosis and not specified
1,recurrent digestive system neuroendocrine tumor gone diagnosis and hemoglobin greater_than equal_than ninety l or greater_than equal_than nine dl
0,advanced cancers diagnosis and use of any other experimental drug or therapy within twenty-one days of baseline
1,neoplasms diagnosis and absolute neutrophil count anc greater_than or equal to one five hundred mmthree
0,recurrent bladder carcinoma diagnosis and is not considered form of systemic treatment
1,stage iiic skin melanoma diagnosis and platelets greater_than one hundred ten³ μl v
0,advanced adult hepatocellular carcinoma diagnosis and hepatic radiation chemoembolization and radiofrequency ablation less_than four weeks prior to study day one
1,follicular lymphoma diagnosis and adults with creatinine greater_than doc mg dl or history of renal dysfunction must have estimated glomerular filtration rate gfr greater_than forty ml min
0,recurrent childhood anaplastic large cell lymphoma diagnosis and eligible for high priority curative autologous transplant
0,sclerosing epithelioid fibrosarcoma diagnosis and patients aged equal_than less_than seventeen years
1,stage iii marginal zone lymphoma diagnosis and ten blasts in blood or marrow
0,sarcoma diagnosis and domperidone five cannabinoids six nkone antagonist aprepitant seven benzodiazepines lorazepam alprazolam etc eight herbal medications or preparations in doses designed to ameliorate nausea or emesis
1,recurrent mantle cell lymphoma diagnosis and adequate venous access for apheresis and no other contraindications for leukapheresis
0,epstein_barr virus positive diffuse large cell lymphoma diagnosis and any life threatening illness medical condition or organ system dysfunction which in the investigator opinion could compromise the subject safety interfere with the absorption or metabolism of ibrutinib capsules or put the study outcomes at undue risk
0,relapsed refractory lymphoma diagnosis and participants requiring treatment with clinically significant enzyme inducers such as the enzyme inducing anti epileptic drugs phenytoin carbamazepine phenobarbital oxcarbazepine primidone rifampin rifabutin rifapentine or st
0,stage ii contiguous adult lymphoblastic lymphoma diagnosis and pre existing greater_than equal_than grade two sensory or motor peripheral neurotoxicity
0,neoplasms by site diagnosis and evidence of leptomeningeal metastasis
0,stage iv grade three follicular lymphoma diagnosis and known hypersensitivity to thalidomide
1,cancer diagnosis and subjects who have received no prior systemic therapy for mpm
0,recurrent breast cancer diagnosis and patient must not be receiving chronic treatment with steroids or another immunosuppressive agent note
1,prostate cancer diagnosis and over eighteen
1,non melanomatous skin cancer diagnosis and no active gastrointestinal disease inflammatory bowel disease
1,angiofibroma diagnosis and patients or his her guardian who agree to use the test drug npc twelveg gel or who want to participate in the trial again following participation in phase iii trial npc twelveg one
0,recurrent cutaneous cell non hodgkin lymphoma diagnosis and female of childbearing potential with positive pregnancy test
0,ovarian serous surface papillary adenocarcinoma diagnosis and serious or non healing wound ulcer or bone fracture
0,malignant neoplasm of stomach diagnosis and patient already included in another clinical trial testing an experimental drug
1,stage iii verrucous carcinoma of the oral cavity diagnosis and prior surgical procedures affecting absorption
1,lung cancer diagnosis and creatinine no greater than uln
1,lymphoma diagnosis and confirmed by tissue biopsy
1,bladder cancer diagnosis and no clinically significant cardiac arrhythmia
1,recurrent adult diffuse large cell lymphoma diagnosis and partial cytogenetic remission
1,triple negative breast cancer diagnosis and known left ventricular ejection fraction lvef less_than fifty
0,angioimmunoblastic cell lymphoma diagnosis and history of aes with prior il two or interferon will not preclude subjects from entering the current study
0,recurrent adult hodgkin lymphoma diagnosis and erythropoietin or darbepoetin therapy if initiated at least two weeks prior to study registration may be continued
1,normal serum tumor markers
0,adequately treated carcinoma in situ without evidence of disease cervical cancer in situ
0,recurrent adult diffuse large cell lymphoma diagnosis and any serious medical condition laboratory abnormality or psychiatric illness that would prevent the subject from signing the informed consent form
1,lung cancer diagnosis and ast sgot alt sgpt less_than or equal_than doc institutional upper limit of normal
0,stage adult diffuse mixed cell lymphoma diagnosis and with expected survival of less than six months
1,brain tumor recurrent diagnosis and life expectancy of at least twelve weeks in the opinion of the pi
0,stage iv grade two follicular lymphoma diagnosis and neuropathy is well described side effect of paclitaxel and carboplatin patients may not have baseline peripheral neuropathy greater_than equal_than grade two
0,mucoepidermoid carcinoma diagnosis and uncontrolled intercurrent illness
0,neoplasms diagnosis and cns metastases unless controlled by previous radiation and the patient is neurologically stable
0,childhood atypical_teratoid rhabdoid tumor diagnosis and fifteen years
0,b cell lymphoma diagnosis and use of investigational drugs biologics or devices within four weeks prior to study treatment or planned use during the study
0,estrogen receptor positive breast cancer diagnosis and patients receiving chronic systemic treatment with corticosteroids or another immunosuppressive agent
0,malignant neoplasm of hypopharynx stage ivb diagnosis and previous radiotherapy to the head and neck region
1,neoplasms diagnosis and karnofsky index greater_than equal_than seventy
0,anticancer treatment for three weeks prior to study initiation six weeks if rituximab nitrosourea or mitomycin and fully recovered from all toxicities associated with prior surgery radiation chemotherapy or immunotherapy
1,recurrent fallopian tube carcinoma diagnosis and patients are allowed to receive but are not required to receive two additional cytotoxic regimens for management of recurrent or persistent disease with no more than one non platinum non taxane regimen
1,multiple myeloma diagnosis and subjects must have the following laboratory values
1,mediastinal large cell lymphoma diagnosis and females of childbearing potential must have negative serum or urine beta human chorionic gonadotropin hcg pregnancy test at screening pregnancy testing is not required for
1,metastatic cancer diagnosis and see disease characteristics
0,stage iii childhood anaplastic large cell lymphoma diagnosis and patients with disease limited to the skin are not eligible regardless of how wide spread
1,rectal neoplasms malignant diagnosis and no evidence of distant metastases
1,progesterone recepto negative negative breast cancer diagnosis and human epidermal growth factor receptor two hertwo negative as per american society of clinical oncology
